Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Balanced Accuracy,Confusion Matrix,Train Time (s)
KNN (Baseline),0.8787878787878788,0.8835619918699187,0.8608039640558282,0.869258789342283,0.8608039640558282,"[[221, 63], [25, 417]]",0.0065
Naive Bayes (Baseline),0.8443526170798898,0.8531556505080646,0.81867790453126,0.8293899773526519,0.81867790453126,"[[199, 85], [28, 414]]",0.001
SVM (Baseline),0.8939393939393939,0.8945124212087505,0.8814288445605761,0.8869101686171773,0.8814288445605761,"[[234, 50], [27, 415]]",0.4821
KNN (Optimized),0.8842975206611571,0.8857380319148936,0.869734242559429,0.8761695906432749,0.869734242559429,"[[228, 56], [28, 414]]",0.0
Naive Bayes (Optimized),0.8526170798898072,0.8660678285023072,0.825465234848002,0.837565213754744,0.825465234848002,"[[199, 85], [22, 420]]",0.0
SVM (Optimized),0.8911845730027548,0.8908712398065188,0.8791664011216621,0.8841415253466927,0.8791664011216621,"[[234, 50], [29, 413]]",0.0
